treatment,run_id,problem,arg_type,arg_mut_rate,mem_searching,solution_found,solution_length,update_found,update_first_solution_found,program
PROBLEM_for-loop-index__ARGS_NUM_ONLY__MEM_SEARCH_0__MUT_005,22201,for-loop-index,Numeric,0.005,0,False,NONE,NONE,NONE,"NONE"
PROBLEM_for-loop-index__ARGS_NUM_ONLY__MEM_SEARCH_0__MUT_005,22202,for-loop-index,Numeric,0.005,0,False,NONE,NONE,NONE,"NONE"
PROBLEM_for-loop-index__ARGS_NUM_ONLY__MEM_SEARCH_0__MUT_005,22203,for-loop-index,Numeric,0.005,0,True,15,299,230,"[SubmitNum-Num(0,14,14),LoadStep-Num(1,3,14),While-Num(2,15,12),TestNumGreater-Num(1,14,12),Countdown-Num(12,13,12),LoadStart-Num(15,3,2),Not-Num(7,5,2),Close(7,6,1),Add-Num(15,2,10),LoadEnd-Num(3,10,15),TestNumGreater-Num(3,10,14),If-Num(14,9,12),Set-0-Num(1,4,13),Div-Num(10,7,15),SubmitNum-Num(10,14,0)]"
PROBLEM_for-loop-index__ARGS_NUM_ONLY__MEM_SEARCH_0__MUT_005,22204,for-loop-index,Numeric,0.005,0,False,NONE,NONE,NONE,"NONE"
PROBLEM_for-loop-index__ARGS_NUM_ONLY__MEM_SEARCH_0__MUT_005,22205,for-loop-index,Numeric,0.005,0,False,NONE,NONE,NONE,"NONE"
PROBLEM_for-loop-index__ARGS_NUM_ONLY__MEM_SEARCH_0__MUT_005,22206,for-loop-index,Numeric,0.005,0,True,11,287,159,"[Sub-Num(11,2,3),LoadStart-Num(11,14,15),Sub-Num(11,3,3),Add-Num(15,0,5),SubmitNum-Num(11,1,3),TestNumLess-Num(3,1,8),While-Num(8,14,3),Add-Num(2,5,5),SubmitNum-Num(5,6,13),Add-Num(5,2,0),TestNumGreater-Num(1,0,8)]"
PROBLEM_for-loop-index__ARGS_NUM_ONLY__MEM_SEARCH_0__MUT_005,22207,for-loop-index,Numeric,0.005,0,False,NONE,NONE,NONE,"NONE"
PROBLEM_for-loop-index__ARGS_NUM_ONLY__MEM_SEARCH_0__MUT_005,22208,for-loop-index,Numeric,0.005,0,False,NONE,NONE,NONE,"NONE"
PROBLEM_for-loop-index__ARGS_NUM_ONLY__MEM_SEARCH_0__MUT_005,22209,for-loop-index,Numeric,0.005,0,False,NONE,NONE,NONE,"NONE"
PROBLEM_for-loop-index__ARGS_NUM_ONLY__MEM_SEARCH_0__MUT_005,22210,for-loop-index,Numeric,0.005,0,True,10,245,103,"[SubmitNum-Num(0,7,4),LoadStep-Num(13,10,5),LoadStart-Num(2,2,14),Close(6,6,14),Add-Num(2,13,2),TestNumGreater-Num(1,2,5),While-Num(5,10,10),SubmitNum-Num(2,15,6),While-Num(11,3,6),TestNumNEqu-Num(1,10,10)]"
