treatment,arg_mode,problem,solutions_found,total_runs,min_solution_size
PROBLEM_for-loop-index__ARGS_NUM_ONLY__ASR_001,ARGS_NUM_ONLY__ASR_001,for-loop-index,17,30,10
PROBLEM_for-loop-index__ARGS_NUM_ONLY__ASR_005,ARGS_NUM_ONLY__ASR_005,for-loop-index,15,30,11
PROBLEM_for-loop-index__ARGS_NUM_ONLY__ASR_01,ARGS_NUM_ONLY__ASR_01,for-loop-index,12,30,10
PROBLEM_for-loop-index__ARGS_TAG_ONLY__BFR_001,ARGS_TAG_ONLY__BFR_001,for-loop-index,24,30,10
PROBLEM_for-loop-index__ARGS_TAG_ONLY__BFR_005,ARGS_TAG_ONLY__BFR_005,for-loop-index,24,30,10
PROBLEM_for-loop-index__ARGS_TAG_ONLY__BFR_01,ARGS_TAG_ONLY__BFR_01,for-loop-index,26,30,11
PROBLEM_grade__ARGS_NUM_ONLY__ASR_001,ARGS_NUM_ONLY__ASR_001,grade,26,30,21
PROBLEM_grade__ARGS_NUM_ONLY__ASR_005,ARGS_NUM_ONLY__ASR_005,grade,26,30,19
PROBLEM_grade__ARGS_NUM_ONLY__ASR_01,ARGS_NUM_ONLY__ASR_01,grade,25,30,20
PROBLEM_grade__ARGS_TAG_ONLY__BFR_001,ARGS_TAG_ONLY__BFR_001,grade,28,30,18
PROBLEM_grade__ARGS_TAG_ONLY__BFR_005,ARGS_TAG_ONLY__BFR_005,grade,29,30,16
PROBLEM_grade__ARGS_TAG_ONLY__BFR_01,ARGS_TAG_ONLY__BFR_01,grade,28,30,14
PROBLEM_median__ARGS_NUM_ONLY__ASR_001,ARGS_NUM_ONLY__ASR_001,median,20,30,17
PROBLEM_median__ARGS_NUM_ONLY__ASR_005,ARGS_NUM_ONLY__ASR_005,median,21,30,14
PROBLEM_median__ARGS_NUM_ONLY__ASR_01,ARGS_NUM_ONLY__ASR_01,median,18,30,17
PROBLEM_median__ARGS_TAG_ONLY__BFR_001,ARGS_TAG_ONLY__BFR_001,median,26,30,11
PROBLEM_median__ARGS_TAG_ONLY__BFR_005,ARGS_TAG_ONLY__BFR_005,median,28,30,11
PROBLEM_median__ARGS_TAG_ONLY__BFR_01,ARGS_TAG_ONLY__BFR_01,median,27,30,10
PROBLEM_small-or-large__ARGS_NUM_ONLY__ASR_001,ARGS_NUM_ONLY__ASR_001,small-or-large,1,30,27
PROBLEM_small-or-large__ARGS_NUM_ONLY__ASR_005,ARGS_NUM_ONLY__ASR_005,small-or-large,1,30,28
PROBLEM_small-or-large__ARGS_NUM_ONLY__ASR_01,ARGS_NUM_ONLY__ASR_01,small-or-large,1,30,44
PROBLEM_small-or-large__ARGS_TAG_ONLY__BFR_001,ARGS_TAG_ONLY__BFR_001,small-or-large,2,30,13
PROBLEM_small-or-large__ARGS_TAG_ONLY__BFR_005,ARGS_TAG_ONLY__BFR_005,small-or-large,2,30,16
PROBLEM_small-or-large__ARGS_TAG_ONLY__BFR_01,ARGS_TAG_ONLY__BFR_01,small-or-large,3,30,16
PROBLEM_smallest__ARGS_NUM_ONLY__ASR_001,ARGS_NUM_ONLY__ASR_001,smallest,19,30,12
PROBLEM_smallest__ARGS_NUM_ONLY__ASR_005,ARGS_NUM_ONLY__ASR_005,smallest,15,30,14
PROBLEM_smallest__ARGS_NUM_ONLY__ASR_01,ARGS_NUM_ONLY__ASR_01,smallest,13,30,14
PROBLEM_smallest__ARGS_TAG_ONLY__BFR_001,ARGS_TAG_ONLY__BFR_001,smallest,21,30,10
PROBLEM_smallest__ARGS_TAG_ONLY__BFR_005,ARGS_TAG_ONLY__BFR_005,smallest,25,30,12
PROBLEM_smallest__ARGS_TAG_ONLY__BFR_01,ARGS_TAG_ONLY__BFR_01,smallest,24,30,10
